Description,country,commodity,fac_name,latitude,longitude,capacity,Ticker
Qiaotou Aluminum Co. Electrolysis Branch,China,Aluminum,Plant at Datong,36.88,101.73,350,#N/A
East Hope Aluminum Plant,China,Aluminum,Plant at Baotou,40.65,109.93,330,#N/A
Shandong Nanshan Industry Co. Ltd.,China,Aluminum,Plant at Longkou,37.66,120.32,280,#N/A
East Hope Aluminum Plant,China,Aluminum,Plant at Baotou,40.65,109.82,250,#N/A
Baotou Aluminum Plant,China,Aluminum,Plant at Baotou,40.65,109.82,250,#N/A
Tongchuan Xingguang Aluminum Co. Ltd.,China,Aluminum,Plant at Tongchuan,34.88,108.97,250,#N/A
Bingzhou Weiqiao Aluminum Co.,China,Aluminum,Plant at Zouping,36.9,117.77,250,#N/A
Liancheng Aluminum Plant,China,Aluminum,Plant at Lanzhou,36.06,103.79,235,#N/A
Lanzhou Aluminum Plant,China,Aluminum,Plant at Lanzhou,36.06,103.79,210,#N/A
Hunan Chuanquan Aluminum Co. Ltd.,China,Aluminum,Plant at Taoyuan,28.9,111.48,210,#N/A
Shanxi Guanlu Aluminum Co. Ltd.,China,Aluminum,Plant at Yuncheng,35.02,110.99,210,#N/A
Henan Shenhuo Aluminum-Electricity Co. Ltd.,China,Aluminum,Plant at Yongcheng,33.94,116.43,200,#N/A
Fushun Aluminum Plant,China,Aluminum,Plant at Fushun,41.86,123.92,190,#N/A
Henan Zongfu Industry Co. Ltd.,China,Aluminum,Plant at Gongyi,34.77,113.02,180,#N/A
Henan Wanji Aluminum Co. Ltd.,China,Aluminum,Plant at Luoyang,34.68,112.39,180,#N/A
Shangqiu Aluminum Smelter,China,Aluminum,Plant at Shangqiu,34.45,115.65,180,#N/A
Baiyin Aluminum Plant,China,Aluminum,Plant at Baiyin,36.55,104.21,150,#N/A
Zouping Aluminum Co. Ltd.,China,Aluminum,Plant at Zouping,36.9,117.77,150,#N/A
Taishan Aluminum-Power Co. Ltd.,China,Aluminum,Plant at Fecheng,36.71,121.24,125,#N/A
Shandong Aluminum Plant,China,Aluminum,Plant at Zibo,36.74,118.1,120,#N/A
Qinghai West Mining Baihe Aluminum Co. Ltd.,China,Aluminum,Plant at Xining,36.67,101.67,112,#N/A
Hanjiang Danjiangkou Aluminum Co. Ltd.,China,Aluminum,Plant at Danjiangkou,32.53,111.51,110,#N/A
