Description,country,commodity,fac_name,latitude,longitude,capacity,symbol,Company_Type,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,exchange,date
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,60.5,60.98,59.785,60.15,1021708.0,60.98,59.785,60.15,60.5,1021708.0,1.0,XNYS,2020-12-01
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,60.63,61.19,59.35,59.37,1780827.0,61.19,59.35,59.37,60.63,1780827.0,1.0,XNYS,2020-11-30
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,60.55,61.28,60.38,60.85,494551.0,61.28,60.38,60.85,60.55,494551.0,1.0,XNYS,2020-11-27
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,59.3,60.2,58.66,59.98,678633.0,60.2,58.66,59.98,59.3,678633.0,1.0,XNYS,2020-11-25
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,58.81,59.99,58.71,59.51,1121857.0,59.99,58.71,59.51,58.81,1121857.0,1.0,XNYS,2020-11-24
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,57.63,58.32,57.4699,58.15,865481.0,58.32,57.4699,58.15,57.63,865481.0,1.0,XNYS,2020-11-23
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,56.69,57.45,56.51,56.83,1232120.0,57.45,56.51,56.83,56.69,1232120.0,1.0,XNYS,2020-11-20
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,55.62,56.21,54.91,56.05,444152.0,56.21,54.91,56.05,55.62,444152.0,1.0,XNYS,2020-11-19
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,56.38,56.64,55.32,55.87,608922.0,56.64,55.32,55.87,56.38,608922.0,1.0,XNYS,2020-11-18
"Southern Peru Copper Corp. (SPCC) (Grupo Mexico, S.A. de C.V.: 54.2%, Marmon Corp.: 14.2%, Phelps Dodge Overseas Capital Corp.: 14%, others: 17.6%)",Peru,Copper,"Cuajone Mine, Moquegua Department, Toquepala Mine, Tacna Department",-16.95,-70.633,200 (Cuajone,SCCO,Public,55.54,56.48,55.035,56.09,1464067.0,56.48,55.035,56.09,55.54,1464067.0,1.0,XNYS,2020-11-17
