Description,country,commodity,fac_name,latitude,longitude,capacity,symbol,Company_Type,Volume,Close,Date
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,369500.0,16.7,2020-12-30
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,413600.0,16.78,2020-12-29
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,106400.0,16.372,2020-12-28
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,69090.0,16.444,2020-12-24
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,276100.0,16.685,2020-12-23
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,287500.0,16.136,2020-12-22
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,397000.0,16.41,2020-12-21
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,313605.0,16.4,2020-12-18
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,465600.0,16.86,2020-12-17
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,291600.0,16.51,2020-12-16
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,400900.0,16.557,2020-12-15
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,345000.0,15.976,2020-12-14
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,240844.0,16.168,2020-12-11
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,68300.0,16.6,2020-12-10
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,179900.0,16.73,2020-12-09
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,888300.0,16.85,2020-12-08
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,197400.0,16.95,2020-12-07
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,523846.0,17.08,2020-12-04
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,384300.0,16.61,2020-12-03
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,2753400.0,15.81,2020-12-02
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,129465.0,15.61,2020-12-01
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,119900.0,14.69,2020-11-30
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,78855.0,15.07,2020-11-27
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,235108.0,15.437,2020-11-25
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,171800.0,15.44,2020-11-24
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,120700.0,14.64,2020-11-23
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,77074.0,14.26,2020-11-20
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,100400.0,14.15,2020-11-19
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,103400.0,14.24,2020-11-18
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,97400.0,14.21,2020-11-17
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,78000.0,14.17,2020-11-16
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,62861.0,13.87,2020-11-13
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,92000.0,13.52,2020-11-12
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,98800.0,13.95,2020-11-11
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,70900.0,13.84,2020-11-10
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,150200.0,13.51,2020-11-09
Loma de N�quel C.A. (Anglo American plc: 91.4%),Venezuela,Nickel,"Loma de Niquel, Aragua and Miranda States",9.983,-67.433,22,NGLOY,Public,73171.0,12.57,2020-11-06
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,1897.0,23.69,2021-04-01
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,5022.0,23.7776,2021-03-31
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,161.0,23.68,2021-03-30
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,884.0,23.715,2021-03-29
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,21378.0,23.3923,2021-03-26
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,1082.0,23.295,2021-03-25
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,1042.0,23.275,2021-03-24
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,5044.0,23.435,2021-03-23
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,946.0,23.8802,2021-03-22
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,700.0,23.925,2021-03-19
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,16908.0,23.785,2021-03-18
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,513.0,24.0555,2021-03-17
Centennial Coal Co. Ltd.,Australia,Coal,Mondalong underground coal mine,-33.17,151.52,4500,CEY,Public,366.0,23.9676,2021-03-16
